"code","billable","short_desc","long_desc","code_system","version"
"0010",TRUE,"Cholera d/t vib cholerae","Cholera due to vibrio cholerae","ICD-9-CM","32"
"0011",TRUE,"Cholera d/t vib el tor","Cholera due to vibrio cholerae el tor","ICD-9-CM","32"
"0019",TRUE,"Cholera NOS","Cholera, unspecified","ICD-9-CM","32"
"0020",TRUE,"Typhoid fever","Typhoid fever","ICD-9-CM","32"
"0021",TRUE,"Paratyphoid fever a","Paratyphoid fever A","ICD-9-CM","32"
"0022",TRUE,"Paratyphoid fever b","Paratyphoid fever B","ICD-9-CM","32"
"0023",TRUE,"Paratyphoid fever c","Paratyphoid fever C","ICD-9-CM","32"
"0029",TRUE,"Paratyphoid fever NOS","Paratyphoid fever, unspecified","ICD-9-CM","32"
"0030",TRUE,"Salmonella enteritis","Salmonella gastroenteritis","ICD-9-CM","32"
"0031",TRUE,"Salmonella septicemia","Salmonella septicemia","ICD-9-CM","32"
"00320",TRUE,"Local salmonella inf NOS","Localized salmonella infection, unspecified","ICD-9-CM","32"
"00321",TRUE,"Salmonella meningitis","Salmonella meningitis","ICD-9-CM","32"
"00322",TRUE,"Salmonella pneumonia","Salmonella pneumonia","ICD-9-CM","32"
"00323",TRUE,"Salmonella arthritis","Salmonella arthritis","ICD-9-CM","32"
"00324",TRUE,"Salmonella osteomyelitis","Salmonella osteomyelitis","ICD-9-CM","32"
"00329",TRUE,"Local salmonella inf NEC","Other localized salmonella infections","ICD-9-CM","32"
"0038",TRUE,"Salmonella infection NEC","Other specified salmonella infections","ICD-9-CM","32"
"0039",TRUE,"Salmonella infection NOS","Salmonella infection, unspecified","ICD-9-CM","32"
"0040",TRUE,"Shigella dysenteriae","Shigella dysenteriae","ICD-9-CM","32"
"0041",TRUE,"Shigella flexneri","Shigella flexneri","ICD-9-CM","32"
"0042",TRUE,"Shigella boydii","Shigella boydii","ICD-9-CM","32"
"0043",TRUE,"Shigella sonnei","Shigella sonnei","ICD-9-CM","32"
"0048",TRUE,"Shigella infection NEC","Other specified shigella infections","ICD-9-CM","32"
"0049",TRUE,"Shigellosis NOS","Shigellosis, unspecified","ICD-9-CM","32"
"0050",TRUE,"Staph food poisoning","Staphylococcal food poisoning","ICD-9-CM","32"
"0051",TRUE,"Botulism food poisoning","Botulism food poisoning","ICD-9-CM","32"
"0052",TRUE,"Food pois d/t c. perfrin","Food poisoning due to Clostridium perfringens (C. welchii)","ICD-9-CM","32"
"0053",TRUE,"Food pois: clostrid NEC","Food poisoning due to other Clostridia","ICD-9-CM","32"
"0054",TRUE,"Food pois: v. parahaem","Food poisoning due to Vibrio parahaemolyticus","ICD-9-CM","32"
"00581",TRUE,"Food poisn d/t v. vulnif","Food poisoning due to Vibrio vulnificus","ICD-9-CM","32"
"00589",TRUE,"Bact food poisoning NEC","Other bacterial food poisoning","ICD-9-CM","32"
"0059",TRUE,"Food poisoning NOS","Food poisoning, unspecified","ICD-9-CM","32"
"0060",TRUE,"Ac amebiasis w/o abscess","Acute amebic dysentery without mention of abscess","ICD-9-CM","32"
"0061",TRUE,"Chr amebiasis w/o absces","Chronic intestinal amebiasis without mention of abscess","ICD-9-CM","32"
"0062",TRUE,"Amebic nondysent colitis","Amebic nondysenteric colitis","ICD-9-CM","32"
"0063",TRUE,"Amebic liver abscess","Amebic liver abscess","ICD-9-CM","32"
"0064",TRUE,"Amebic lung abscess","Amebic lung abscess","ICD-9-CM","32"
"0065",TRUE,"Amebic brain abscess","Amebic brain abscess","ICD-9-CM","32"
"0066",TRUE,"Amebic skin ulceration","Amebic skin ulceration","ICD-9-CM","32"
"0068",TRUE,"Amebic infection NEC","Amebic infection of other sites","ICD-9-CM","32"
"0069",TRUE,"Amebiasis NOS","Amebiasis, unspecified","ICD-9-CM","32"
"0070",TRUE,"Balantidiasis","Balantidiasis","ICD-9-CM","32"
"0071",TRUE,"Giardiasis","Giardiasis","ICD-9-CM","32"
"0072",TRUE,"Coccidiosis","Coccidiosis","ICD-9-CM","32"
"0073",TRUE,"Intest trichomoniasis","Intestinal trichomoniasis","ICD-9-CM","32"
"0074",TRUE,"Cryptosporidiosis","Cryptosporidiosis","ICD-9-CM","32"
"0075",TRUE,"Cyclosporiasis","Cyclosporiasis","ICD-9-CM","32"
"0078",TRUE,"Protozoal intest dis NEC","Other specified protozoal intestinal diseases","ICD-9-CM","32"
"0079",TRUE,"Protozoal intest dis NOS","Unspecified protozoal intestinal disease","ICD-9-CM","32"
"00800",TRUE,"Intest infec e coli NOS","Intestinal infection due to E. coli, unspecified","ICD-9-CM","32"
"00801",TRUE,"Int inf e coli entrpath","Intestinal infection due to enteropathogenic E. coli","ICD-9-CM","32"
"00802",TRUE,"Int inf e coli entrtoxgn","Intestinal infection due to enterotoxigenic E. coli","ICD-9-CM","32"
"00803",TRUE,"Int inf e coli entrnvsv","Intestinal infection due to enteroinvasive E. coli","ICD-9-CM","32"
"00804",TRUE,"Int inf e coli entrhmrg","Intestinal infection due to enterohemorrhagic E. coli","ICD-9-CM","32"
"00809",TRUE,"Int inf e coli spcf NEC","Intestinal infection due to other intestinal E. coli infections","ICD-9-CM","32"
